bowler,batsman_runs,extra_runs,total_concede,wickets,matches_played,economy
YS Chahal,4478,203,4681,205,159,7.74
PP Chawla,5027,152,5179,192,191,7.98
DJ Bravo,4178,258,4436,183,158,8.08
B Kumar,4744,307,5051,181,176,7.46
R Ashwin,5178,257,5435,180,208,6.97
SP Narine,4492,180,4672,180,175,6.76
A Mishra,4065,128,4193,174,162,7.3
SL Malinga,3194,285,3479,170,122,7.02
JJ Bumrah,3613,227,3840,165,133,7.23
RA Jadeja,4777,140,4917,160,211,7.57
Harbhajan Singh,3928,173,4101,149,160,7.04
Rashid Khan,3222,118,3340,149,121,6.91
UT Yadav,4185,257,4442,144,147,8.35
Sandeep Sharma,3605,153,3758,137,126,7.71
HV Patel,3003,212,3215,135,103,8.45
MM Sharma,3200,78,3278,132,111,8.52
Mohammed Shami,3286,200,3486,127,110,8.3
AR Patel,3707,117,3824,122,148,7.28
TA Boult,3137,149,3286,121,103,8.12
K Rabada,2486,166,2652,120,80,8.34
AD Russell,2561,130,2691,113,112,9.12
A Nehra,2422,115,2537,106,88,7.71
R Vinay Kumar,2925,116,3041,105,104,8.35
Z Khan,2691,169,2860,102,99,7.54
JD Unadkat,3119,100,3219,99,104,8.8
DW Steyn,2406,177,2583,96,95,6.79
CH Morris,2220,157,2377,96,81,7.92
SN Thakur,2747,161,2908,93,92,8.82
Mohammed Siraj,2676,218,2894,93,93,8.34
I Sharma,3020,235,3255,92,110,8.04
SR Watson,2571,171,2742,92,105,7.7
P Kumar,3106,236,3342,90,119,7.6
RP Singh,2236,181,2417,90,82,7.74
PP Ojha,2261,133,2394,89,90,7.39
Kuldeep Yadav,2339,74,2413,87,82,8.11
DS Kulkarni,2364,149,2513,86,92,8.04
JA Morkel,2256,153,2409,84,87,8
CV Varun,1961,81,2042,83,70,7.54
Imran Tahir,1664,65,1729,82,59,7.74
IK Pathan,2569,142,2711,80,101,7.7
DL Chahar,2144,99,2243,77,81,7.71
M Morkel,2005,131,2136,77,70,7.54
KV Sharma,2062,68,2130,76,82,8.41
Arshdeep Singh,1958,139,2097,76,65,8.66
L Balaji,1952,131,2083,76,73,7.94
KH Pandya,2523,121,2644,75,117,7.27
RD Chahar,2102,63,2165,75,77,7.65
Avesh Khan,1909,101,2010,74,62,8.68
KK Ahmed,1808,110,1918,74,57,8.56
MM Patel,1670,63,1733,74,63,7.52
R Bhatia,1986,73,2059,71,91,7.44
MJ McClenaghan,1726,113,1839,70,56,8.2
AB Dinda,1987,116,2103,69,75,7.94
KA Pollard,2077,123,2200,68,107,8.32
T Natarajan,1900,101,2001,67,61,8.57
JH Kallis,2222,126,2348,65,89,7.83
SK Trivedi,1840,104,1944,65,75,7.49
HH Pandya,2083,113,2196,64,93,8.87
M Muralitharan,1642,123,1765,64,66,6.7
PJ Cummins,1852,124,1976,63,58,8.65
Shakib Al Hasan,1802,62,1864,63,70,7.38
Ravi Bishnoi,1784,77,1861,63,65,7.65
MG Johnson,1633,107,1740,62,54,8.02
JP Faulkner,1744,105,1849,61,60,8.62
Mustafizur Rahman,1703,89,1792,61,57,7.95
A Nortje,1523,91,1614,60,46,8.83
SM Curran,1847,77,1924,58,58,9.35
S Kaul,1706,66,1772,58,55,8.59
SK Warne,1408,57,1465,57,54,7.19
JO Holder,1403,86,1489,53,46,8.52
S Gopal,1340,18,1358,52,51,8.15
MA Starc,1070,105,1175,51,39,8.02
M Prasidh Krishna,1619,122,1741,50,51,8.49
S Nadeem,1753,47,1800,48,70,7.48
LH Ferguson,1376,75,1451,48,45,8.69
JC Archer,1125,85,1210,48,40,7.36
TG Southee,1682,92,1774,47,54,8.43
SB Jakati,1422,52,1474,47,57,8.03
NM Coulter-Nile,1063,62,1125,47,38,7.57
A Kumble,1027,62,1089,45,42,6.65
S Aravind,1007,50,1057,45,38,8.05
RJ Harris,998,87,1085,45,37,7.53
VR Aaron,1401,126,1527,44,50,8.6
MP Stoinis,1240,60,1300,43,62,9.39
YK Pathan,1372,71,1443,42,82,7.31
MC Henriques,1256,46,1302,42,60,7.98
TU Deshpande,1184,91,1275,42,36,9.21
AJ Tye,949,56,1005,42,30,8.45
Iqbal Abdulla,1083,42,1125,40,48,7.16
R Sharma,1079,21,1100,40,44,7.06
P Awana,1000,46,1046,39,33,8.11
PJ Sangwan,1182,85,1267,38,42,8.4
DT Christian,1152,66,1218,38,49,7.93
S Sreesanth,1112,109,1221,38,44,7.74
GJ Maxwell,1275,36,1311,37,79,8.15
MS Gony,1250,67,1317,37,44,8.54
M Markande,1051,30,1081,37,37,8.8
MR Marsh,762,41,803,37,34,8.12
DE Bollinger,663,53,716,37,27,7.16
Washington Sundar,1309,26,1335,36,58,7.53
Yuvraj Singh,1064,27,1091,36,73,7.42
M Ashwin,1131,51,1182,35,44,7.9
MM Ali,881,19,900,35,52,7.01
JR Hazlewood,791,39,830,35,27,8.01
PWH de Silva,741,17,758,35,26,8.17
P Negi,922,32,954,34,42,7.81
WD Parnell,881,87,968,34,33,7.66
M Pathirana,524,93,617,34,20,7.36
KK Cooper,725,64,789,33,25,7.89
R Tewatia,1088,29,1117,32,52,7.74
M Kartik,1341,77,1418,31,55,7.2
NLTC Perera,998,33,1031,31,36,8.65
CJ Jordan,1033,78,1111,30,34,9.3
Shivam Mavi,903,55,958,30,32,8.37
CR Woakes,635,39,674,30,21,8.73
AB Agarkar,1112,62,1174,29,42,8.59
Umran Malik,732,53,785,29,26,9.08
Azhar Mahmood,681,26,707,29,23,7.68
A Zampa,547,15,562,29,20,7.93
BA Stokes,956,67,1023,28,38,8.49
Yash Dayal,878,55,933,28,28,9.1
DL Vettori,871,23,894,28,34,6.83
PV Tambe,834,32,866,28,33,7.71
DP Nannes,734,81,815,28,29,7.1
A Singh,603,36,639,28,23,7.89
AD Mathews,1054,41,1095,27,44,8.14
Harmeet Singh,698,49,747,27,28,7.81
Mohsin Khan,663,35,698,27,23,8.26
MF Maharoof,494,38,532,27,20,7.24
DR Smith,787,38,825,26,46,8.89
SK Raina,1096,43,1139,25,69,7.35
B Lee,1042,84,1126,25,38,7.38
Harpreet Brar,875,32,907,25,39,7.86
R Dhawan,851,71,922,25,36,7.98
M Theekshana,789,25,814,25,27,7.74
J Botha,781,37,818,25,34,6.92
Naveen-ul-Haq,571,31,602,25,17,8.87
Harshit Rana,563,27,590,25,19,8.78
L Ngidi,430,30,460,25,14,8.07
Navdeep Saini,911,57,968,24,31,8.52
AS Rajpoot,772,72,844,24,29,8.93
Mukesh Kumar,673,34,707,24,20,10.1
Yash Thakur,663,39,702,24,19,9.75
Noor Ahmad,637,35,672,24,23,7.86
JP Duminy,802,45,847,23,49,7.25
SW Tait,557,111,668,23,21,7.51
GB Hogg,552,33,585,23,21,7.53
Basil Thampi,828,34,862,22,25,9.6
STR Binny,741,22,763,22,63,7.49
BW Hilfenhaus,461,36,497,22,17,7.65
Sohail Tanvir,246,29,275,22,11,6.23
Shahbaz Ahmed,825,25,850,21,42,9.29
K Gowtham,797,28,825,21,35,8.26
AS Joseph,669,38,707,21,22,9.34
RE van der Merwe,486,29,515,21,21,6.79
VY Mahesh,478,33,511,21,17,8.54
M Jansen,665,67,732,20,21,9.02
A Symonds,656,38,694,20,30,7.71
C Sakariya,563,47,610,20,19,7.96
J Suchith,585,19,604,19,21,8.35
RP Meredith,572,49,621,19,18,8.98
Mujeeb Ur Rahman,564,34,598,19,19,7.94
VG Arora,550,48,598,19,20,8.58
JP Behrendorff,535,28,563,19,17,8.91
KW Richardson,458,21,479,19,15,8.33
Akash Madhwal,407,24,431,19,13,9.27
AD Mascarenhas,353,12,365,19,13,7.06
BB Sran,718,49,767,18,24,8.92
CH Gayle,680,75,755,18,38,7.76
Anureet Singh,601,35,636,18,22,8.87
IC Pandey,584,25,609,18,24,7.79
NT Ellis,496,18,514,18,16,8.45
A Ashish Reddy,386,14,400,18,20,8.89
WPUJC Vaas,345,19,364,18,13,7.58
Bipul Sharma,557,24,581,17,28,8
BJ Hodge,294,16,310,17,20,7.82
CRD Fernando,279,27,306,17,10,7.37
C Green,634,41,675,16,29,8.77
Mukesh Choudhary,432,20,452,16,14,9.1
D Wiese,428,19,447,16,15,8.74
R Rampaul,299,20,319,16,12,6.88
