bowler,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A Ashish Reddy,0,0,0,0,0,20,10,9,7,6,46,14,43,27,41,46,48,12,28,29
A Badoni,0,0,0,0,0,0,19,0,0,0,0,11,0,0,0,6,0,0,0,0
A Chandila,63,0,54,0,20,0,29,0,4,0,34,0,19,0,13,0,6,0,0,0
A Choudhary,22,15,4,4,0,0,2,0,22,4,0,0,17,0,10,0,11,26,0,0
A Dananjaya,0,12,0,0,0,0,0,5,0,19,0,0,0,0,10,0,0,0,0,0
A Flintoff,0,0,0,0,8,13,2,0,2,0,6,0,0,0,16,6,0,22,22,8
A Kamboj,0,12,9,14,22,0,9,4,0,6,9,0,21,0,0,0,0,0,0,0
A Kumble,33,6,16,9,3,16,94,55,125,108,81,96,66,51,63,67,88,17,17,16
A Mishra,8,6,30,25,34,64,357,311,429,355,376,367,260,404,240,346,183,166,69,35
A Mithun,0,14,0,18,40,26,37,28,10,15,30,19,24,12,28,0,37,20,27,63
A Nehra,165,318,176,356,155,152,7,20,25,4,20,48,62,47,109,154,119,104,199,182
A Nel,0,0,0,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0
A Nortje,57,97,103,112,98,87,0,4,11,13,40,24,73,64,60,121,132,94,164,169
A Singh,8,51,29,47,69,75,0,11,4,0,0,5,7,28,2,15,30,114,40,68
A Symonds,5,7,20,15,17,37,50,43,65,30,49,22,82,16,55,42,35,18,15,33
A Uniyal,0,0,0,4,0,17,18,0,0,0,0,0,0,0,0,0,16,0,9,0
A Zampa,0,3,0,12,17,10,52,27,81,26,60,18,48,14,48,15,39,35,34,8
AA Chavan,34,2,73,5,24,12,40,10,10,4,27,7,11,19,8,10,16,0,0,6
AA Jhunjhunwala,5,14,7,13,0,6,2,0,5,13,10,16,8,0,25,0,0,2,0,0
AA Kazi,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0
AA Noffke,0,0,0,17,0,0,7,0,0,0,0,0,0,0,0,4,0,7,0,0
AB Agarkar,4,26,9,41,86,104,56,81,89,64,66,59,38,48,44,43,73,48,71,62
AB Dinda,131,160,189,257,136,64,22,35,21,6,59,29,51,31,51,25,98,218,136,268
AB McDonald,0,32,0,0,21,10,24,13,28,6,12,28,8,17,9,0,1,9,0,41
AC Gilchrist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC Thomas,51,19,54,9,40,13,0,0,0,3,0,7,0,0,12,25,30,21,76,34
AC Voges,0,0,8,0,0,17,5,0,0,0,0,5,15,19,0,0,5,0,0,0
AD Mascarenhas,51,22,33,50,15,33,24,20,7,0,20,14,2,17,4,18,0,23,0,0
AD Mathews,0,0,12,9,75,84,105,58,67,88,72,38,80,94,49,39,42,55,44,43
AD Russell,57,70,116,110,96,86,135,127,133,120,118,116,152,74,137,115,108,211,218,262
AF Milne,13,18,51,32,13,17,17,0,15,0,19,0,24,6,0,7,13,40,15,13
AG Murtaza,9,5,12,11,8,6,24,37,9,11,31,12,24,6,54,19,6,0,20,0
AJ Finch,3,0,0,0,0,0,0,38,8,0,4,0,0,7,0,5,1,0,0,0
AJ Hosein,0,8,0,11,0,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0
AJ Tye,0,11,1,39,75,121,8,23,26,29,31,34,55,39,23,85,72,98,142,37
AK Markram,10,0,11,6,7,0,30,19,34,5,15,8,16,0,8,0,1,0,0,0
AL Menaria,20,10,21,0,1,0,12,0,8,0,0,7,0,3,11,23,24,0,0,0
AM Nayar,0,0,0,0,10,0,18,32,27,57,21,55,20,55,7,0,0,0,0,9
AM Rahane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
AM Salvi,0,23,5,9,22,17,20,11,11,0,0,6,6,12,3,0,12,11,0,22
AN Ahmed,21,24,20,36,30,32,18,18,13,27,13,10,12,0,31,20,56,12,45,29
AP Dole,11,0,17,0,29,0,4,0,12,0,0,6,0,5,0,9,0,12,0,0
