bowler,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A Ashish Reddy,0,0,0,0,0,0,0,1,0,0,0,0,2,4,0,3,4,0,2,2
A Badoni,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
A Chandila,5,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A Choudhary,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
A Flintoff,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
A Kamboj,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Kumble,2,0,0,0,0,1,2,0,3,5,2,4,3,6,0,3,6,2,4,2
A Mishra,1,0,0,4,1,0,16,9,26,11,13,17,10,16,8,14,8,7,7,6
A Mithun,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
A Nehra,5,9,6,11,7,2,0,0,0,0,1,2,2,3,4,8,10,10,12,14
A Nel,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Nortje,3,4,3,3,4,5,0,1,1,0,2,2,1,2,2,6,4,4,10,3
A Singh,2,3,1,2,2,1,0,0,0,0,0,1,0,0,0,0,2,3,5,6
A Symonds,0,0,1,0,2,1,1,1,0,2,3,0,0,0,4,0,1,0,3,1
A Uniyal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A Zampa,0,0,0,0,0,2,0,0,3,2,2,3,1,1,2,6,0,2,2,3
AA Chavan,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0
AA Jhunjhunwala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AA Noffke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AB Agarkar,0,0,2,0,1,3,3,2,4,3,1,0,2,0,1,0,0,3,1,3
AB Dinda,6,3,9,6,7,2,0,2,0,2,0,2,3,1,0,2,4,6,6,8
AB McDonald,0,0,0,0,2,1,1,0,1,0,1,0,0,2,0,0,1,0,0,2
AC Gilchrist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC Thomas,3,0,3,0,1,0,0,0,0,2,0,0,0,0,1,0,1,1,1,1
AD Mascarenhas,2,0,2,5,1,2,2,0,0,0,0,0,1,2,0,0,0,2,0,0
AD Mathews,0,0,1,0,4,1,2,1,2,0,0,2,2,3,0,1,3,2,1,2
AD Russell,3,1,4,0,8,6,1,5,6,6,6,6,6,2,7,3,4,13,12,14
AF Milne,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,1
AG Murtaza,0,0,0,0,1,1,0,2,1,1,0,1,0,0,2,0,0,0,0,0
AJ Finch,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AJ Hosein,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AJ Tye,0,0,0,2,3,6,0,0,0,2,1,2,1,0,1,3,2,4,5,10
AK Markram,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
AL Menaria,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
AM Nayar,0,0,0,0,0,0,1,1,0,1,1,0,2,2,0,0,0,0,0,1
AM Rahane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AM Salvi,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1
AN Ahmed,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,3
AP Dole,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
AR Patel,2,0,2,4,4,5,15,5,9,9,11,11,9,10,5,5,8,7,0,1
AS Joseph,0,0,0,0,1,1,1,0,2,0,0,2,0,1,1,4,2,4,0,2
AS Rajpoot,2,0,2,1,4,0,0,0,3,1,0,0,1,0,1,1,0,1,1,6
AS Roy,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0
AU Rashid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Abdul Samad,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Abhishek Sharma,0,0,0,0,0,0,1,1,1,0,0,2,3,2,0,1,0,0,0,0
Akash Deep,0,0,0,1,0,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0
Akash Madhwal,0,2,0,2,1,0,1,0,0,3,0,1,1,1,1,0,4,0,2,0
Akash Singh,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Anand Rajan,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,1,2
Ankit Sharma,2,0,3,0,1,0,1,0,0,1,1,0,1,0,2,0,0,0,0,0
Ankit Soni,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Anureet Singh,0,2,1,2,1,1,0,0,0,1,1,0,0,0,0,0,1,1,2,5
Arjun Tendulkar,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Arshad Khan,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
Arshdeep Singh,1,5,3,9,4,6,0,0,0,1,1,2,2,2,2,2,6,8,10,12
Avesh Khan,2,3,2,4,4,6,2,1,1,2,1,3,5,2,3,5,4,9,10,5
Azhar Mahmood,0,3,0,0,1,2,0,3,1,1,0,0,0,0,1,1,3,3,2,8
Azmatullah Omarzai,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B Akhil,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0
B Geeves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B Kumar,27,9,20,5,7,4,0,3,0,0,1,1,1,1,2,15,12,18,25,30
B Laughlin,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,0,1,0,2
B Lee,1,1,9,0,0,0,0,1,0,0,1,0,0,1,1,2,5,0,3,0
B Stanlake,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0
BA Bhatt,0,2,0,0,2,0,0,0,0,0,1,1,3,0,1,0,0,1,0,1
BA Stokes,0,1,0,2,4,1,0,0,0,1,0,1,2,0,2,3,1,2,3,5
BAW Mendis,0,1,0,0,1,0,0,0,2,0,0,1,1,0,0,1,1,0,0,0
BB Sran,0,2,0,2,1,0,0,0,0,0,1,0,1,2,2,0,3,1,2,1
BCJ Cutting,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,0,1,0,0
BE Hendricks,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,2,0
BJ Hodge,0,0,0,0,0,0,0,0,1,5,1,5,0,2,0,3,0,0,0,0
BMAJ Mendis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BW Hilfenhaus,2,2,5,0,1,2,0,0,0,1,0,0,1,0,1,1,0,1,2,3
Basil Thampi,0,1,0,1,0,0,0,0,1,2,0,0,1,1,2,0,3,0,3,7
Bipul Sharma,0,1,1,2,1,0,2,1,1,0,0,3,0,3,1,1,0,0,0,0
C Green,0,1,1,0,0,1,0,0,2,1,1,0,1,2,2,2,0,2,0,0
C Nanda,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
C Sakariya,0,1,2,2,1,0,0,0,1,0,0,2,0,2,1,0,1,3,1,3
C de Grandhomme,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0
CH Gayle,2,0,0,0,1,0,0,0,2,0,1,0,0,0,3,1,0,0,2,6
CH Morris,2,5,1,4,2,8,0,0,0,3,2,3,1,3,4,3,11,14,17,13
CJ Anderson,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,2,3
CJ Jordan,0,1,0,1,0,1,3,0,1,2,1,1,2,1,1,2,4,3,4,2
CJ McKay,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CK Langeveldt,0,2,1,3,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,2
CL White,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CR Brathwaite,0,0,0,0,0,0,0,1,0,1,1,2,0,2,0,1,2,0,0,3
CR Woakes,0,1,3,0,1,1,3,0,3,0,1,0,0,0,1,1,3,2,5,5
CRD Fernando,0,0,0,1,3,3,0,3,0,0,0,1,0,0,1,0,1,2,0,2
CV Varun,0,3,0,3,3,4,0,9,5,2,7,9,10,6,10,5,3,3,0,1
D Brevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
D Jansen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
D Kalyankrishna,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
D Pretorius,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0
D Salunkhe,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
D Wiese,0,0,2,1,0,3,0,0,1,1,0,0,0,1,0,0,2,0,5,0
D du Preez,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DAJ Bracewell,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
DB Ravi Teja,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DE Bollinger,0,3,0,6,0,2,0,0,1,0,0,0,2,0,0,2,1,4,8,8
DG Nalkande,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1
DJ Bravo,0,1,2,2,1,4,9,4,6,5,4,7,8,10,5,13,12,37,14,39
DJ Hooda,0,1,0,0,0,1,1,2,0,2,1,1,0,0,0,0,0,1,0,0
DJ Hussey,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,1,0,1
DJ Mitchell,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DJ Muthuswami,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DJ Thornely,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
DJ Willey,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
DJG Sammy,0,0,0,0,0,1,0,4,0,2,1,0,1,0,1,0,0,0,0,1
DJM Short,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DL Chahar,13,1,24,1,16,3,1,0,1,0,1,0,0,4,0,0,0,2,8,2
DL Vettori,0,0,0,0,0,2,2,1,1,3,6,1,2,2,1,3,1,0,3,0
DNT Zoysa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
DP Nannes,5,3,6,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,4,2
DP Vijaykumar,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DR Sams,3,0,3,0,1,1,0,0,0,0,1,0,2,0,2,0,0,0,1,0
DR Smith,0,0,0,0,4,1,1,0,1,2,3,2,1,5,0,2,1,0,1,2
DS Kulkarni,5,12,1,12,7,7,0,4,3,1,1,1,0,7,3,4,2,5,7,4
