bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A Ashish Reddy,0,0,0,0,11,3,0,3,1,0,0,0,0,0,0,0,0
A Badoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
A Chandila,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0
A Choudhary,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
A Flintoff,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Kamboj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
A Kumble,7,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Mishra,11,14,17,19,13,21,7,9,13,10,12,11,3,6,0,7,1
A Mithun,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0
A Nehra,12,19,6,0,11,11,8,22,9,8,0,0,0,0,0,0,0
A Nel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Nortje,0,0,0,0,0,0,0,0,0,0,0,0,22,12,9,10,7
A Singh,0,9,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0
A Symonds,0,7,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Uniyal,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Zampa,0,0,0,0,0,0,0,0,12,7,0,0,2,0,0,8,0
AA Chavan,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
AA Jhunjhunwala,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AA Noffke,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB Agarkar,8,6,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0
AB Dinda,9,4,9,5,9,16,5,0,11,1,0,0,0,0,0,0,0
AB McDonald,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0
AC Gilchrist,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AC Thomas,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0
AD Mascarenhas,2,6,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0
AD Mathews,0,0,8,0,7,5,0,7,0,0,0,0,0,0,0,0,0
AD Russell,0,0,0,0,1,0,1,14,15,0,13,10,5,11,17,7,19
AF Milne,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0
AG Murtaza,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0
AJ Finch,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AJ Hosein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AJ Tye,0,0,0,0,0,0,0,0,0,12,24,3,1,0,2,0,0
AK Markram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
AL Menaria,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
AM Nayar,1,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
AM Rahane,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM Salvi,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AN Ahmed,0,0,0,5,0,3,3,1,0,0,0,0,0,0,0,0,0
AP Dole,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR Patel,0,0,0,0,0,0,17,13,12,15,3,10,9,15,6,11,11
AS Joseph,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,7,1
AS Rajpoot,0,0,0,0,0,1,0,0,3,4,11,3,2,0,0,0,0
AS Roy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0
AU Rashid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Abdul Samad,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Abhishek Sharma,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,2,2
Akash Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1
Akash Madhwal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5
Akash Singh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Anand Rajan,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0
Ankit Sharma,0,0,0,0,4,0,4,3,1,0,0,0,0,0,0,0,0
Ankit Soni,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Anureet Singh,0,2,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0
Arjun Tendulkar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Arshad Khan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Arshdeep Singh,0,0,0,0,0,0,0,0,0,0,0,3,9,18,10,17,19
Avesh Khan,0,0,0,0,0,0,0,0,0,1,4,0,0,24,18,8,19
Azhar Mahmood,0,0,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0
Azmatullah Omarzai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
B Akhil,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B Geeves,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B Kumar,0,0,0,3,8,13,20,18,23,26,9,13,3,6,12,16,11
B Laughlin,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0
B Lee,4,5,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0
B Stanlake,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0
BA Bhatt,0,0,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0
BA Stokes,0,0,0,0,0,0,0,0,0,12,8,6,2,0,0,0,0
BAW Mendis,1,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
BB Sran,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0
