,batter,batsman_runs
0,A Badoni,2
1,A Chandila,1
2,A Kumble,1
3,A Manohar,1
4,A Mishra,8
5,A Mithun,1
6,A Mukund,1
7,A Nehra,7
8,A Nortje,3
9,A Singh,3
10,A Uniyal,1
11,A Zampa,1
12,AA Jhunjhunwala,1
13,AA Kulkarni,1
14,AB Dinda,6
15,AB McDonald,1
16,AB de Villiers,10
17,AC Blizzard,1
18,AC Gilchrist,7
19,AC Thomas,1
20,AD Mascarenhas,2
21,AD Mathews,2
22,AD Nath,1
23,AD Russell,5
24,AF Milne,2
25,AG Paunikar,1
26,AJ Finch,7
27,AJ Turner,3
28,AJ Tye,3
29,AK Markram,2
30,AL Menaria,1
31,AM Nayar,4
32,AM Rahane,13
33,AN Ghosh,1
34,AP Tare,5
35,AR Patel,7
36,AS Joseph,1
37,AS Raut,1
38,AS Roy,2
39,AS Yadav,1
40,AT Rayudu,13
41,AUK Pathan,2
42,Abdul Samad,3
43,Abdur Razzak,1
44,Abhishek Sharma,2
45,Abishek Porel,1
46,Akash Deep,1
47,Aman Hakim Khan,1
48,Anirudh Singh,1
49,Ankit Sharma,1
50,Ankit Soni,2
51,Anmolpreet Singh,1
52,Anuj Rawat,4
53,Anureet Singh,4
54,Arshad Khan,1
55,Arshdeep Singh,4
56,Atharva Taide,1
57,Avesh Khan,1
58,Azhar Mahmood,2
59,B Akhil,2
60,B Indrajith,1
61,B Kumar,9
62,B Laughlin,2
63,B Lee,2
64,BA Bhatt,1
65,BA Stokes,3
66,BAW Mendis,1
67,BB McCullum,6
68,BB Samantray,1
69,BB Sran,1
70,BCJ Cutting,1
71,BE Hendricks,1
72,BJ Hodge,4
73,BMAJ Mendis,1
74,Basil Thampi,1
75,C Munro,1
76,C Nanda,1
77,C Sakariya,2
78,C de Grandhomme,3
79,CA Lynn,3
80,CA Pujara,1
81,CH Gayle,8
82,CH Morris,10
83,CJ Anderson,2
84,CJ Jordan,1
85,CK Kapugedera,1
86,CK Langeveldt,1
87,CL White,4
88,CR Woakes,1
89,CV Varun,2
90,D Brevis,1
91,D Padikkal,5
92,D Pretorius,1
93,DA Miller,3
94,DA Warner,11
95,DB Das,1
96,DB Ravi Teja,1
97,DE Bollinger,1
98,DG Nalkande,1
99,DH Yagnik,1
100,DJ Bravo,6
101,DJ Hooda,4
102,DJ Hussey,5
103,DJ Jacobs,1
104,DJ Thornely,1
105,DJ Willey,1
106,DJG Sammy,2
107,DL Chahar,3
108,DL Vettori,1
109,DP Conway,2
110,DPMD Jayawardene,2
111,DR Sams,4
112,DR Smith,8
113,DT Christian,2
114,DW Steyn,5
115,Dhruv Jurel,2
116,E Lewis,2
117,EJG Morgan,5
118,F Behardien,1
119,F du Plessis,7
120,FA Allen,1
121,FY Fazal,1
122,G Coetzee,1
123,G Gambhir,11
124,GC Smith,3
125,GC Viljoen,1
126,GD McGrath,1
127,GD Phillips,1
128,GHS Garton,1
129,GJ Bailey,1
130,GJ Maxwell,18
131,Gurkeerat Singh,4
132,H Klaasen,1
133,HC Brook,3
134,HH Gibbs,4
135,HH Pandya,6
136,HM Amla,2
137,HR Shokeen,1
138,HV Patel,9
139,Harbhajan Singh,12
140,Harmeet Singh,1
141,Harpreet Brar,1
142,Harshit Rana,2
143,I Sharma,3
144,I Udana,1
145,IC Pandey,1
146,IK Pathan,3
147,Imran Tahir,1
148,Iqbal Abdulla,2
149,Ishan Kishan,8
150,J Arunkumar,1
151,J Fraser-McGurk,1
152,J Suchith,2
153,J Theron,1
154,JA Morkel,3
155,JA Richardson,1
156,JC Archer,3
157,JC Buttler,7
158,JD Ryder,4
159,JD Unadkat,3
160,JDP Oram,1
161,JDS Neesham,2
162,JH Kallis,8
163,JJ Bumrah,9
164,JJ van der Wath,1
165,JL Denly,1
166,JM Bairstow,3
167,JM Sharma,2
168,JO Holder,3
169,JP Duminy,1
170,JR Hazlewood,1
171,JR Hopes,1
172,JR Philippe,1
173,Jaskaran Singh,1
174,Joginder Sharma,2
175,K Goel,1
176,K Gowtham,3
177,K Rabada,6
178,K Yadav,1
179,KA Pollard,6
180,KB Arun Karthik,1
181,KC Sangakkara,4
182,KD Karthik,19
183,KH Pandya,7
184,KJ Abbott,1
185,KK Ahmed,4
186,KK Cooper,1
187,KK Nair,3
188,KL Nagarkoti,2
189,KL Rahul,5
190,KM Asif,1
191,KM Jadhav,6
192,KMA Paul,1
193,KP Appanna,1
194,KP Pietersen,4
195,KR Mayers,2
196,KR Sen,1
197,KS Bharat,1
198,KS Williamson,1
199,KV Sharma,1
200,Kartik Tyagi,1
201,Kuldeep Yadav,8
202,Kumar Kushagra,1
203,L Ablish,1
204,L Balaji,5
205,L Ronchi,1
206,LE Plunkett,1
207,LH Ferguson,1
208,LMP Simmons,2
209,LPC Silva,1
210,LR Shukla,3
211,LRPL Taylor,3
212,LS Livingstone,1
