,batter,batsman_runs
0,CH Gayle,175
1,BB McCullum,158
2,Q de Kock,140
3,AB de Villiers,133
4,KL Rahul,132
6,Shubman Gill,129
7,RR Pant,128
9,M Vijay,127
10,DA Warner,126
11,JC Buttler,124
12,YBK Jaiswal,124
13,MP Stoinis,124
14,V Sehwag,122
15,PC Valthaty,120
16,SV Samson,119
18,SR Watson,117
19,A Symonds,117
22,MEK Hussey,116
23,WP Saha,115
24,SE Marsh,115
25,ST Jayasuriya,114
26,MK Pandey,114
27,JM Bairstow,114
29,V Kohli,113
31,RM Patidar,112
32,DPMD Jayawardene,110
34,RG Sharma,109
36,SP Narine,109
37,AC Gilchrist,109
40,RD Gaikwad,108
45,BA Stokes,107
47,MA Agarwal,106
49,S Dhawan,106
52,AM Rahane,105
55,HM Amla,104
56,H Klaasen,104
59,VR Iyer,104
63,B Sai Sudharsan,103
64,SA Yadav,103
69,KP Pietersen,103
71,P Simran Singh,103
73,TM Head,102
77,D Padikkal,101
80,DA Miller,101
83,SPD Smith,101
85,HC Brook,100
88,YK Pathan,100
89,C Green,100
91,LMP Simmons,100
93,WG Jacks,100
96,SK Raina,100
98,AT Rayudu,100
100,SR Tendulkar,100
102,Ishan Kishan,99
105,PP Shaw,99
120,KD Karthik,97
121,SS Iyer,96
123,F du Plessis,96
129,GJ Maxwell,95
138,CJ Anderson,95
140,M Vohra,95
142,S Dube,95
144,LS Livingstone,94
146,NV Ojha,94
152,KC Sangakkara,94
154,G Gambhir,93
156,MM Ali,93
157,RA Tripathi,93
158,CA Lynn,93
160,ML Hayden,93
166,DP Conway,92
167,MS Bisla,92
174,SC Ganguly,91
175,HH Pandya,91
178,GC Smith,91
181,JJ Roy,91
192,PD Salt,89
194,JH Kallis,89
197,MR Marsh,89
204,KS Williamson,89
210,AD Russell,88
211,AJ Finch,88
220,RV Uthappa,88
224,DR Smith,87
233,N Rana,87
234,KA Pollard,87
244,JD Ryder,86
245,KH Pandya,86
261,RS Bopara,84
268,MS Dhoni,84
271,J Fraser-McGurk,84
278,R Parag,84
281,Tilak Varma,84
287,MJ Lumb,83
297,Yuvraj Singh,83
300,KK Nair,83
305,CH Morris,82
309,RR Rossouw,82
328,Rahmanullah Gurbaz,81
337,LRPL Taylor,81
338,PA Patel,81
347,Azhar Mahmood,80
369,Rashid Khan,79
377,JEC Franklin,79
381,LA Pomersbach,79
389,JP Duminy,78
393,CL White,78
395,KS Bharat,78
400,TL Suman,78
422,Mandeep Singh,77
423,N Pooran,77
428,TM Dilshan,76
436,OA Shah,76
439,Nithish Kumar Reddy,76
449,SO Hetmyer,75
451,PD Collingwood,75
452,Abhishek Sharma,75
453,MK Tiwary,75
457,SM Katich,75
461,R Dravid,75
473,MN van Wyk,74
477,MC Henriques,74
504,Salman Butt,73
506,BJ Hodge,73
521,KR Mayers,73
525,JA Morkel,73
559,DJ Hussey,71
565,S Badrinath,71
574,Y Venugopal Rao,71
575,JR Hopes,71
578,T Stubbs,71
589,DJ Bravo,70
605,RN ten Doeschate,70
636,HH Gibbs,69
642,KM Jadhav,69
647,Vivrant Sharma,69
654,EJG Morgan,68
675,AK Markram,68
684,SN Thakur,68
700,Shashank Singh,68
712,R Powell,67
716,SN Khan,67
728,J Botha,67
743,RK Singh,67
746,PJ Cummins,66
748,Anuj Rawat,66
758,Shakib Al Hasan,66
759,AR Patel,66
769,Atharva Taide,66
811,Gurkeerat Singh,65
820,Abishek Porel,65
825,AD Mathews,65
835,E Lewis,65
844,N Wadhera,64
847,BJ Rohrer,64
850,S Anirudha,64
855,PN Mankad,64
862,Harbhajan Singh,64
879,DJ Hooda,64
885,SM Curran,63
888,DJ Mitchell,63
907,V Shankar,63
926,RA Jadeja,62
929,S Sohal,62
954,Naman Dhir,62
980,SS Tiwary,61
989,B Chipli,61
991,Ashutosh Sharma,61
1016,R Ravindra,61
1020,GJ Bailey,61
1033,DJG Sammy,60
1040,IK Pathan,60
1058,DB Ravi Teja,60
1062,SA Asnodkar,60
1074,AP Tare,59
1085,Shahbaz Ahmed,59
1101,A Badoni,59
1137,Arshad Khan,58
1170,M Shahrukh Khan,58
1176,UBT Chand,58
1202,Sikandar Raza,57
1236,NK Patel,57
1249,SW Billings,56
1301,Dhruv Jurel,56
1314,BB Samantray,55
1382,MK Lomror,54
1392,S Vidyut,54
1421,TK Curran,54
1442,A Raghuvanshi,54
1475,AA Jhunjhunwala,53
1497,Kamran Akmal,53
1514,R Tewatia,53
1547,SP Goswami,52
1574,VVS Laxman,52
1611,AC Blizzard,51
1617,CA Pujara,51
1621,RJ Quiney,51
1639,R McLaren,51
1641,Aman Hakim Khan,51
1667,PK Garg,51
1711,R Ashwin,50
1716,RE Levi,50
1740,N Saini,50
1769,MV Boucher,50
1770,W Jaffer,50
1772,PBB Rajapaksa,50
1789,MJ Guptill,50
1813,MC Juneja,49
1833,D Brevis,49
1836,JM Sharma,49
1892,STR Binny,48
1899,Lalit Yadav,48
1907,LR Shukla,48
1946,DJ Harris,47
1964,JO Holder,47
1976,D Wiese,47
1983,Misbah-ul-Haq,47
2014,CA Ingram,47
2038,JP Faulkner,46
2056,MN Samuels,46
2064,GH Vihari,46
2090,TH David,46
2117,AM Nayar,45
2136,AC Voges,45
2155,AD Hales,45
2171,SP Fleming,45
2200,FY Fazal,45
2205,YV Takawale,45
2209,LJ Wright,44
2210,K Rabada,44
2252,DJM Short,44
2268,Y Nagar,44
2372,CR Brathwaite,43
2377,A Manohar,43
2415,PA Reddy,42
2453,M Manhas,42
2477,MS Gony,42
2518,MJ Clarke,41
2533,P Dogra,41
2543,JDP Oram,41
2587,Harpreet Singh,41
2592,SD Hope,41
2594,MD Mishra,41
2636,C de Grandhomme,40
2650,C Munro,40
2653,Washington Sundar,40
2665,NLTC Perera,40
2674,AL Menaria,40
2703,Anirudh Singh,40
2728,R Shepherd,39
2737,N Jagadeesan,39
2781,LA Carseldine,39
2783,AB Agarkar,39
2788,DL Chahar,39
2806,KV Sharma,39
2813,DT Christian,39
2824,BCJ Cutting,39
2831,MF Maharoof,39
2917,K Goel,38
2926,SD Chitnis,38
2984,Mohammad Nabi,37
3012,Abdul Samad,37
3066,HV Patel,36
3067,A Ashish Reddy,36
3082,SB Styris,36
3093,MW Short,36
3105,P Negi,36
3112,AS Raut,36
3122,TG Southee,36
3174,Anmolpreet Singh,36
3181,Ramandeep Singh,35
3200,MS Wade,35
3209,Kuldeep Yadav,35
3233,RE van der Merwe,35
3280,DB Das,35
3283,Bipul Sharma,35
3320,M Kaif,34
3322,SK Warne,34
3375,J Suchith,34
3409,P Kumar,34
3440,DH Yagnik,34
3441,SS Prabhudessai,34
3483,SM Pollock,33
3513,K Gowtham,33
3524,JR Philippe,33
3559,AB Barath,33
3564,Iqbal Abdulla,33
3581,AB McDonald,33
3586,Shahid Afridi,33
3590,CM Gautam,33
3604,Sachin Baby,33
3650,KK Cooper,32
3761,DJ Jacobs,32
3814,AP Majumdar,31
3829,RR Sarwan,31
3924,A Mishra,31
3975,Ankit Sharma,30
3978,AP Dole,30
4000,Vishnu Vinod,30
4029,UT Khawaja,30
4089,CJ Jordan,30
4110,DJ Thornely,30
4155,DL Vettori,29
4174,PR Shah,29
4185,Harpreet Brar,29
4187,MA Starc,29
4200,M Klinger,29
4257,DS Kulkarni,28
4276,SE Rutherford,28
4342,IR Jaggi,28
4348,RT Ponting,28
4360,RR Powar,28
4435,TR Birt,27
4452,AD Mascarenhas,27
4476,JC Archer,27
4491,R Sathish,27
4508,S Sriram,27
4577,B Akhil,27
4603,B Kumar,27
4630,R Bhatia,26
4665,DJ Malan,26
4695,KW Richardson,26
4707,JD Unadkat,26
4756,RV Gomez,26
4775,R Vinay Kumar,26
4811,MG Bracewell,26
4827,D Salunkhe,26
4843,GD Phillips,25
4862,SB Dubey,25
4874,AJ Tye,25
4876,RD Chahar,25
4953,OF Smith,25
4964,HR Shokeen,25
4986,B Lee,25
4996,WA Mota,25
